,time_5000,time_2000,time_10000,adaptive rowing category,age,height,weight,weight_class,profile_id
53573,1321.8,474.0,2699.9,able,32,185.4,95.3,H,1377287
53574,1720.2,726.2,3583.0,able,48,172.7,108.0,H,1377295
53575,1096.5,397.0,2261.1,able,39,190.5,99.8,H,1377296
53584,1179.1,454.0,2489.2,able,36,172.7,70.3,L,1377367
53633,1656.7,650.9,3512.9,able,11,149.9,44.5,H,1377628
53646,1281.9,501.6,2587.1,able,44,177.8,94.8,H,1377717
53660,1437.3,576.3,3232.8,able,44,190.5,104.3,H,1377784
53668,1150.7,427.4,2294.3,able,42,188.0,86.2,H,1377858
53669,1640.4,813.7,3569.9,able,66,165.1,71.2,L,1377861
53690,1292.8,483.0,2738.3,able,64,175.3,68.5,L,1377976
53691,1133.6,436.5,2385.6,able,24,190.5,83.9,H,1377977
53741,1298.7,499.0,2583.4,able,42,177.8,104.3,H,1378257
53752,1075.1,386.8,2208.2,able,36,190.5,102.1,H,1378320
53759,1256.7,487.1,2539.4,able,44,167.6,68.0,L,1378374
53764,1209.0,456.1,2575.1,able,38,185.4,91.6,H,1378413
